epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,343.845,1.78255,2.21138,1.8152,0.71891,0.564,0.62496,0.40998,1.65975,1.91911,1.70836,0.000604,0.000604,0.000604
6,401.881,1.7203,2.03283,1.75674,0.66003,0.62063,0.66591,0.42214,1.59406,1.644,1.60973,0.000505,0.000505,0.000505
7,458.014,1.66833,1.8592,1.7118,0.68362,0.73244,0.74228,0.47211,1.53747,1.43615,1.56875,0.000406,0.000406,0.000406
8,512.66,1.61424,1.70519,1.64834,0.74517,0.73671,0.7856,0.50851,1.45788,1.28053,1.49112,0.000307,0.000307,0.000307
9,569.183,1.57457,1.5971,1.60426,0.76238,0.76176,0.80051,0.53551,1.41796,1.23958,1.45168,0.000208,0.000208,0.000208
10,627.126,1.51471,1.52594,1.56257,0.76777,0.79202,0.82296,0.5487,1.36944,1.18209,1.42385,0.000109,0.000109,0.000109
1,110.665,1.78531,3.52595,1.77251,0.61216,0.36212,0.38725,0.22679,1.73081,2.30451,1.75258,0.000331066,0.000331066,0.000331066
2,178.051,1.82019,2.92757,1.8179,0.54425,0.39896,0.38416,0.22679,1.7728,2.53121,1.7495,0.000598624,0.000598624,0.000598624
3,244.182,1.85753,2.6117,1.84245,0.59361,0.42852,0.4915,0.26791,1.77695,2.12654,1.77629,0.000800181,0.000800181,0.000800181
4,307.582,1.78878,2.34583,1.7903,0.6106,0.44122,0.4652,0.28716,1.73176,1.90777,1.75726,0.000703,0.000703,0.000703
5,371.845,1.77864,2.17656,1.78135,0.62705,0.47831,0.55775,0.31073,1.63631,1.77557,1.67718,0.000604,0.000604,0.000604
6,434.182,1.70739,1.97954,1.71675,0.725,0.53415,0.71039,0.42725,1.57227,1.5596,1.57198,0.000505,0.000505,0.000505
7,496.788,1.67655,1.80473,1.68392,0.74525,0.55871,0.74384,0.44016,1.54853,1.43804,1.60945,0.000406,0.000406,0.000406
8,559.42,1.60338,1.68766,1.64685,0.73628,0.6394,0.77899,0.48121,1.46199,1.30123,1.48312,0.000307,0.000307,0.000307
9,620.351,1.54866,1.57682,1.56979,0.63049,0.85949,0.80099,0.51347,1.3869,1.27552,1.44199,0.000208,0.000208,0.000208
10,682.476,1.51533,1.49746,1.56014,0.6876,0.8721,0.85731,0.55337,1.36542,1.14663,1.41944,0.000109,0.000109,0.000109
